opcode,a_type,b_type,result,zero,cov_gain,gain_label
7,SMALL,ZERO,0,1,0.0,0
7,LARGE,LARGE,0,1,0.0,0
0,SMALL,LARGE,1,0,0.0,0
3,SMALL,SMALL,12,0,0.78125,1
6,SMALL,LARGE,0,1,0.0,0
1,LARGE,SMALL,4294967287,0,0.0,0
5,SMALL,SMALL,768,0,0.78125,1
2,LARGE,LARGE,37,0,0.0,0
7,SMALL,LARGE,1,0,0.0,0
7,SMALL,LARGE,1,0,0.0,0
0,SMALL,LARGE,17,0,0.0,0
7,SMALL,ZERO,0,1,0.0,0
3,SMALL,LARGE,14,0,0.78125,1
7,LARGE,SMALL,1,0,0.0,0
6,LARGE,LARGE,0,1,0.0,0
7,LARGE,ZERO,0,1,0.0,0
2,ZERO,ZERO,0,1,0.78125,1
2,ZERO,ZERO,0,1,0.0,0
0,LARGE,LARGE,42,0,0.0,0
3,LARGE,ZERO,73,0,0.0,0
5,LARGE,ZERO,4294967292,0,0.0,0
7,LARGE,LARGE,1,0,0.0,0
4,ZERO,LARGE,4294967288,0,0.78125,1
6,LARGE,ZERO,39,0,0.78125,1
4,LARGE,LARGE,4294967295,0,0.0,0
3,LARGE,ZERO,23,0,0.0,0
7,SMALL,LARGE,1,0,0.0,0
3,ZERO,SMALL,9,0,0.0,0
6,SMALL,ZERO,5,0,0.78125,1
5,SMALL,SMALL,256,0,0.0,0
0,SMALL,LARGE,58,0,0.0,0
1,LARGE,LARGE,4294967230,0,0.0,0
5,LARGE,SMALL,240,0,0.78125,1
6,ZERO,ZERO,0,1,0.0,0
0,ZERO,ZERO,0,1,0.78125,1
3,SMALL,LARGE,22,0,0.0,0
6,SMALL,LARGE,0,1,0.0,0
5,LARGE,ZERO,4294967282,0,0.0,0
0,SMALL,LARGE,25,0,0.0,0
2,ZERO,ZERO,0,1,0.0,0
5,LARGE,LARGE,704512,0,0.0,0
7,ZERO,LARGE,0,1,0.0,0
4,LARGE,ZERO,66,0,0.0,0
1,LARGE,LARGE,6,0,0.0,0
2,LARGE,LARGE,96,0,0.0,0
7,LARGE,ZERO,0,1,0.0,0
3,SMALL,LARGE,47,0,0.0,0
7,SMALL,LARGE,0,1,0.0,0
3,SMALL,ZERO,3,0,0.0,0
3,ZERO,SMALL,4,0,0.0,0
1,ZERO,ZERO,0,1,0.78125,1
0,SMALL,LARGE,103,0,0.0,0
6,LARGE,LARGE,0,1,0.0,0
2,LARGE,SMALL,0,1,0.0,0
2,ZERO,SMALL,0,1,0.0,0
1,SMALL,LARGE,5,0,0.0,0
5,SMALL,SMALL,512,0,0.0,0
5,LARGE,ZERO,4294967291,0,0.0,0
4,ZERO,SMALL,5,0,0.0,0
0,ZERO,ZERO,0,1,0.0,0
7,SMALL,LARGE,0,1,0.0,0
2,LARGE,ZERO,0,1,0.0,0
6,LARGE,LARGE,63,0,0.0,0
6,LARGE,ZERO,91,0,0.0,0
0,ZERO,LARGE,87,0,0.0,0
4,SMALL,LARGE,4294967286,0,0.0,0
5,LARGE,LARGE,4294967240,0,0.0,0
0,ZERO,LARGE,4294967281,0,0.0,0
7,SMALL,ZERO,0,1,0.0,0
6,LARGE,LARGE,86,0,0.0,0
2,SMALL,LARGE,1,0,0.0,0
5,LARGE,LARGE,4265607168,0,0.0,0
1,LARGE,LARGE,4294967293,0,0.0,0
0,LARGE,LARGE,103,0,0.0,0
0,LARGE,ZERO,48,0,0.0,0
0,LARGE,ZERO,31,0,0.0,0
6,ZERO,LARGE,0,1,0.0,0
1,LARGE,ZERO,74,0,0.0,0
5,LARGE,SMALL,9472,0,0.0,0
5,ZERO,SMALL,0,1,0.78125,1
7,SMALL,LARGE,1,0,0.0,0
3,ZERO,LARGE,44,0,0.0,0
7,ZERO,SMALL,1,0,0.0,0
6,SMALL,LARGE,0,1,0.0,0
3,ZERO,SMALL,1,0,0.0,0
1,ZERO,LARGE,13,0,0.0,0
0,SMALL,LARGE,4294967294,0,0.0,0
6,ZERO,LARGE,0,1,0.0,0
1,ZERO,LARGE,16,0,0.0,0
4,ZERO,ZERO,0,1,0.78125,1
1,LARGE,ZERO,4294967284,0,0.0,0
4,LARGE,SMALL,88,0,0.0,0
6,LARGE,LARGE,63,0,0.0,0
2,ZERO,LARGE,0,1,0.0,0
4,ZERO,LARGE,77,0,0.0,0
4,LARGE,LARGE,20,0,0.0,0
1,SMALL,LARGE,21,0,0.0,0
5,SMALL,LARGE,134217728,0,0.0,0
1,ZERO,ZERO,0,1,0.0,0
1,SMALL,LARGE,4294967212,0,0.0,0
6,LARGE,SMALL,9,0,0.0,0
0,LARGE,LARGE,133,0,0.0,0
7,ZERO,SMALL,1,0,0.0,0
6,ZERO,ZERO,0,1,0.0,0
3,LARGE,LARGE,4294967292,0,0.0,0
5,SMALL,LARGE,167772160,0,0.0,0
5,LARGE,ZERO,4294967293,0,0.0,0
3,LARGE,LARGE,4294967292,0,0.0,0
7,SMALL,LARGE,0,1,0.0,0
7,ZERO,ZERO,0,1,0.78125,1
1,SMALL,ZERO,7,0,0.0,0
6,ZERO,LARGE,0,1,0.0,0
7,SMALL,LARGE,0,1,0.0,0
6,LARGE,LARGE,0,1,0.0,0
5,SMALL,SMALL,128,0,0.0,0
4,LARGE,LARGE,4294967248,0,0.0,0
2,SMALL,LARGE,2,0,0.0,0
7,LARGE,LARGE,1,0,0.0,0
7,LARGE,LARGE,1,0,0.0,0
4,SMALL,LARGE,33,0,0.0,0
7,LARGE,ZERO,0,1,0.0,0
0,LARGE,LARGE,33,0,0.0,0
5,SMALL,LARGE,1073741824,0,0.0,0
6,ZERO,SMALL,0,1,0.0,0
7,SMALL,LARGE,0,1,0.0,0
3,ZERO,ZERO,0,1,0.78125,1
5,LARGE,ZERO,4294967294,0,0.0,0
0,LARGE,ZERO,4294967276,0,0.0,0
6,ZERO,LARGE,0,1,0.0,0
1,LARGE,SMALL,4294967289,0,0.0,0
2,LARGE,LARGE,44,0,0.0,0
1,ZERO,LARGE,4294967216,0,0.0,0
6,LARGE,LARGE,0,1,0.0,0
0,LARGE,LARGE,69,0,0.0,0
6,LARGE,SMALL,3,0,0.0,0
4,LARGE,LARGE,4294967274,0,0.0,0
2,SMALL,SMALL,8,0,0.0,0
7,LARGE,LARGE,1,0,0.0,0
0,LARGE,SMALL,4294967292,0,0.0,0
0,LARGE,SMALL,98,0,0.0,0
2,LARGE,LARGE,56,0,0.0,0
4,LARGE,SMALL,4294967285,0,0.0,0
2,LARGE,LARGE,54,0,0.0,0
